"","municip_number","location_number","latlon","sea_temperature","sitting_lice","moving_lice","adult_females","year","month","date","prod_area_id","prod_area_name"
"196","2004",10834,"(-999.0,-999.0)",NA,NA,NA,NA,2010,4,1,12,"Vest-Finnmark"
"197","2004",10834,"(-999.0,-999.0)",NA,NA,NA,NA,2010,5,1,12,"Vest-Finnmark"
"198","2004",10834,"(-999.0,-999.0)",4.77,NA,0,0,2010,6,1,12,"Vest-Finnmark"
"199","2004",10834,"(-999.0,-999.0)",6.5,NA,0,0,2010,7,1,12,"Vest-Finnmark"
"200","2004",10834,"(-999.0,-999.0)",7.95,NA,0,0,2010,8,1,12,"Vest-Finnmark"
"201","2004",10834,"(-999.0,-999.0)",9.34,NA,0.07,0.07,2010,9,1,12,"Vest-Finnmark"
"202","2004",10834,"(-999.0,-999.0)",8.54,NA,0.03,0,2010,10,1,12,"Vest-Finnmark"
"203","2004",10834,"(-999.0,-999.0)",7.54,NA,0,0,2010,11,1,12,"Vest-Finnmark"
"204","2004",10834,"(-999.0,-999.0)",6.34,NA,0,0,2010,12,1,12,"Vest-Finnmark"
"205","2004",10834,"(-999.0,-999.0)",5.38,NA,0.03,0,2011,1,1,12,"Vest-Finnmark"
"206","2004",10834,"(-999.0,-999.0)",4.53,NA,0,0,2011,2,1,12,"Vest-Finnmark"
"207","2004",10834,"(-999.0,-999.0)",NA,NA,NA,NA,2011,3,1,12,"Vest-Finnmark"
"208","2004",10834,"(-999.0,-999.0)",NA,NA,NA,NA,2011,4,1,12,"Vest-Finnmark"
"209","2004",10834,"(-999.0,-999.0)",3.44,NA,0.15,0,2011,5,1,12,"Vest-Finnmark"
"210","2004",10834,"(-999.0,-999.0)",3.95,NA,0,0,2011,6,1,12,"Vest-Finnmark"
"211","2004",10834,"(-999.0,-999.0)",6.2,NA,0,0,2011,7,1,12,"Vest-Finnmark"
"212","2004",10834,"(-999.0,-999.0)",7.82,NA,0,0.1,2011,8,1,12,"Vest-Finnmark"
"213","2004",10834,"(-999.0,-999.0)",NA,NA,NA,NA,2011,9,1,12,"Vest-Finnmark"
"214","2004",10836,"(-999.0,-999.0)",5.43,NA,3,0,2005,2,1,12,"Vest-Finnmark"
"215","2004",10836,"(-999.0,-999.0)",4.9,NA,3,2,2005,3,1,12,"Vest-Finnmark"
"216","2004",10836,"(-999.0,-999.0)",4.23,NA,0,0,2005,4,1,12,"Vest-Finnmark"
"217","2004",10836,"(-999.0,-999.0)",4.31,NA,0,0,2005,5,1,12,"Vest-Finnmark"
"218","2004",10836,"(-999.0,-999.0)",5.29,NA,0,0,2005,6,1,12,"Vest-Finnmark"
